letter,pc_woodchuck.txt,pc_jabberwocky.txt,pc_rose.txt
a,0.06081,0.08505,0.10141
b,0,0.04527,0.01127
c,0.16216,0.02332,0.01972
d,0.10135,0.04527,0.01972
e,0.02027,0.11111,0.11268
f,0.01351,0.01372,0.02535
g,0,0.02881,0.01408
h,0.10811,0.08368,0.07606
i,0.01351,0.05075,0.03944
j,0,0.01235,0
k,0.06081,0.01097,0.00282
l,0.0473,0.04115,0.03944
m,0.02027,0.03567,0.0507
n,0.00676,0.04938,0.07606
o,0.14865,0.07407,0.10423
p,0,0.00412,0.00845
q,0,0,0
r,0,0.04664,0.05915
s,0.02703,0.05213,0.04225
t,0,0.09191,0.11549
u,0.12838,0.02881,0.02254
v,0,0.00823,0
w,0.08108,0.03292,0.0338
x,0,0.00137,0
y,0,0.02332,0.02535
z,0,0,0
